Sentence;Degree of Truth;Degree of Support
For some records in mixed, context_avg_len_sms is medium;0.23463418105711728;0.45714285714285713
For almost no records in mixed, context_avg_len_sms is high;0.3229610365793742;0.4142857142857143
For some records in mixed, context_avg_len_sms is high;0.3437056300872924;0.4142857142857143
For almost no records in mixed, context_no_calls is low;0.4713309566250746;0.3137254901960784
For some records in mixed, context_no_calls is low;0.19533571004159198;0.3137254901960784
For almost no records in mixed, context_no_calls is medium;0.08532620916521888;0.45098039215686275
For some records in mixed, context_no_calls is medium;0.5813404575014476;0.45098039215686275
For almost no records in mixed, context_no_calls is high;0.5390314789935747;0.38235294117647056
For some records in mixed, context_no_calls is high;0.12763518767309187;0.38235294117647056
For almost no records in mixed, context_prc_nottakencalls is low;0.08806235631619014;0.4067796610169492
For some records in mixed, context_prc_nottakencalls is low;0.5786043103504763;0.4067796610169492
For almost no records in mixed, context_prc_nottakencalls is medium;0.5062277469742528;0.4576271186440678
For some records in mixed, context_prc_nottakencalls is medium;0.16043891969241383;0.4576271186440678
For almost no records in mixed, context_prc_nottakencalls is high;0.42296457088010153;0.4576271186440678
For some records in mixed, context_prc_nottakencalls is high;0.24370209578656502;0.4576271186440678
For almost no records in mixed, context_prc_out_calls is low;0.3160957924276724;0.5116279069767442
For some records in mixed, context_prc_out_calls is low;0.35057087423899413;0.5116279069767442
For some records in mixed, context_prc_out_calls is medium;1.0;0.5465116279069767
For almost no records in mixed, context_prc_out_calls is high;0.76044078726004;0.36046511627906974
For almost no records in mixed, context_avg_duration_calls is low;0.44553897955928506;0.3877551020408163
For some records in mixed, context_avg_duration_calls is low;0.22112768710738157;0.3877551020408163
For almost no records in mixed, context_avg_duration_calls is medium;0.32225138341385934;0.46938775510204084
For some records in mixed, context_avg_duration_calls is medium;0.34441528325280724;0.46938775510204084
For almost no records in mixed, context_avg_duration_calls is high;0.19340606333281132;0.42857142857142855
For some records in mixed, context_avg_duration_calls is high;0.4732606033338552;0.42857142857142855
For almost no records in mixed, self_avg_sleep_time is low;0.358024691358051;0.2962962962962963
For some records in mixed, self_avg_sleep_time is low;0.30864197530861553;0.2962962962962963
For some records in mixed, self_avg_sleep_time is medium;1.0;0.48148148148148145
For almost no records in mixed, self_avg_sleep_time is high;0.8518518518519151;0.2222222222222222
For almost no records in mixed, self_avg_comment_len_sleep is low;0.8974358974358976;0.4
For some records in mixed, self_avg_comment_len_sleep is medium;0.8095238095237969;0.4
For almost no records in mixed, self_avg_comment_len_sleep is high;0.74468085106383;0.4
For almost no records in mixed, self_avg_feeling is low;0.19999999999999984;0.32
For some records in mixed, self_avg_feeling is low;0.4666666666666666;0.32
For most records in mixed, self_avg_feeling is medium;0.2000000000478686;0.88
For almost all records in mixed, self_avg_feeling is medium;0.29999999995213195;0.88
For almost no records in mixed, self_avg_feeling is high;1.0;0.12
For almost no records in mixed, self_avg_comment_len_mood is low;1.0;0.0
For almost all records in mixed, self_avg_comment_len_mood is medium;1.0;1.0
For almost no records in mixed, self_avg_comment_len_mood is high;1.0;0.0
For almost no records in mixed, context_stddev_duration_calls is low;0.6238018037944876;0.34831460674157305
For some records in mixed, context_stddev_duration_calls is low;0.042864862872179124;0.34831460674157305
For almost no records in mixed, context_stddev_duration_calls is medium;0.15734559032702788;0.48314606741573035
For some records in mixed, context_stddev_duration_calls is medium;0.5093210763396386;0.48314606741573035
For almost no records in mixed, context_stddev_duration_calls is high;0.18398327225989483;0.449438202247191
For some records in mixed, context_stddev_duration_calls is high;0.48268339440677166;0.449438202247191
For almost no records in mixed, context_no_all_calls is low;0.4856679055064292;0.3235294117647059
For some records in mixed, context_no_all_calls is low;0.1809987611602374;0.3235294117647059
For almost no records in mixed, context_no_all_calls is medium;0.2562614955388754;0.5
For some records in mixed, context_no_all_calls is medium;0.4104051711277911;0.5
For almost no records in mixed, context_no_all_calls is high;0.5336556368378929;0.39215686274509803
For some records in mixed, context_no_all_calls is high;0.1330110298287738;0.39215686274509803
For most records in mixed, hamd is low;1.0;0.7058823529411765
For almost no records in mixed, hamd is medium;1.0;0.10784313725490197
For almost no records in mixed, hamd is high;1.0;0.17647058823529413
For almost no records in mixed, hamd is very high;1.0;0.0
For some records in mixed, yms is low;1.0;0.43137254901960786
